time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.3234162977947085e-07,-9.8521203265976e-08,10.00458492405916,6.282958353126581,0.00021585062953466405,0.0,-2.0507492372976435e-05,-1.427378988657789e-05,0.1528218764668089,-0.012690179098047063,0.009965383302276769,0.0,453.62511412254776,454.42443916693134,453.18443427390565,452.163508296885
0.12000000000000001,-1.0059169013137077e-05,-1.0612990550852479e-05,10.022185271638339,6.282127389166742,0.00039020583937787734,0.0,-0.0003648719199805208,-0.00043860682191621263,0.43379181134983114,-0.01627486416080714,-0.017500555717882088,0.0,492.67485505444967,490.64025561522504,490.5229824328004,490.2568853941425
0.18,-3.652070649153014e-05,-6.256676967355786e-05,10.051189534708922,6.281017073390794,6.282971733419366,0.0,-0.00043605801587648764,-0.0013990142213504747,0.5329752168869887,-0.023387255428317297,0.0017301860213366068,0.0,435.8453854616627,437.44952538350316,437.35905988452896,436.7664179288795
0.23999999999999996,-5.7632718165189935e-05,-0.00020824716940225676,10.090969011089998,6.279685539905294,6.282917822460961,0.0,-0.0002715958766467821,-0.003628375546555138,0.7928629358241632,-0.019903531221520686,-0.006756608790344815,0.0,485.44275687998714,484.8056217951564,485.38303885523345,485.64439603697815
0.3,-6.65350815465208e-05,-0.0005085990645938341,10.143170581597463,6.278743334908654,6.282734665889986,0.0,6.2315961810828155e-06,-0.006499249181574313,0.9470735414639095,-0.008405310402696726,0.0034822142817860953,0.0,454.73227979055076,455.5516802690743,453.26514135113297,454.1882226825967
0.36000000000000004,-5.8840300885892244e-05,-0.0009797822559949867,10.200234861039714,6.277922039219824,6.28301447869967,0.0,0.00022857254639310052,-0.009262808851278049,0.955062142069638,-0.027196043923841402,0.006927405627092291,0.0,407.662298299741,407.9699096928138,408.2072508282753,406.52723972113506
0.4200000000000001,-4.384859087147964e-05,-0.0016384532918494882,10.258362675954062,6.276224203454436,0.0006785933199511263,0.0,0.00021074649867886935,-0.012844611109073674,0.9825074087952685,-0.03059563735232136,0.0256841216936097,0.0,413.4654480249938,415.1143759564517,414.22882731640647,413.9295155910156
0.48000000000000015,-5.671198105655136e-05,-0.002602734389783308,10.326156407053727,6.27418181959259,0.0021819501962223598,0.0,-0.0008383839712946316,-0.019548216929531376,1.277000021103888,-0.04201256591594353,0.02376920036417356,0.0,495.4407198908435,495.29995709252483,496.5843206448526,495.7458645660747
0.5400000000000001,-0.0001724058820583508,-0.004029201974139147,10.411882839291044,6.271508425414563,0.0035188810231714385,0.0,-0.0031998721678126417,-0.028339439728302062,1.5801754726545605,-0.05020181427049976,0.01912901479885737,0.0,498.78684459810347,498.4478547263047,499.2835074309775,498.6848271811665
0.6000000000000002,-0.00044427912177171034,-0.005991551941018688,10.510459649740763,6.268034964894058,0.004562921477969439,0.0,-0.005978056899393358,-0.037404394761294105,1.7055345797981667,-0.08134000268319161,0.01369845821435105,0.0,447.3759765618662,446.93354568087716,448.7825219157297,446.24548450451533
0.6600000000000003,-0.0009093768678350179,-0.00859685475959462,10.61763414451999,6.263350326447906,0.005655838561337667,0.0,-0.009631739378673924,-0.049965297523844175,1.8666896699946474,-0.07224491581492301,0.025989498459683475,0.0,457.7543885824686,458.7312898468884,458.84923521830484,459.5659683569502
0.7200000000000003,-0.0016153931603655016,-0.012039915002460905,10.733539664196453,6.258853518871776,0.006961995603679938,0.0,-0.014055176467198217,-0.06526808203276664,1.9965982101832722,-0.0809835514798792,0.011605646420780536,0.0,449.98218249585676,448.81635971935145,450.37370732485914,449.6620376467109
0.7800000000000004,-0.002647401957538312,-0.016626874660752973,10.862257426994415,6.25369895916246,0.007795388309474127,0.0,-0.020441990569727817,-0.08826985553881318,2.29342865215573,-0.09823255003563504,0.018106113445886952,0.0,498.45869853209746,498.9333543191044,500.27482772545943,499.0120332177956
0.8400000000000004,-0.00405164411385043,-0.022600703951331697,11.004356396196867,6.247644707862829,0.009288479448608555,0.0,-0.026507490086349596,-0.11150058538520574,2.442873004349119,-0.10686361518908745,0.0358246864714368,0.0,456.52552834086566,457.93715756284155,457.94637644567155,457.2508074713835
0.9000000000000005,-0.005807729567777667,-0.02991878147717596,11.150360128149837,6.2410525903352365,0.01140611782965717,0.0,-0.03220928103067199,-0.13298481755678085,2.423933759257089,-0.11667497869162773,0.034211093825458935,0.0,403.85161574581224,403.706725496146,403.94723353086215,403.04942088886884
0.9600000000000005,-0.007963218124850466,-0.038714064118793814,11.29691805003481,6.233724576856229,0.014460457273442806,0.0,-0.03988751552286427,-0.16084888673539938,2.461214841373781,-0.13622143119641938,0.07223681968443363,0.0,420.6446146553167,423.9262519533354,423.73553890787286,422.03723500735595
1.0200000000000005,-0.01069400919968443,-0.049492215206962856,11.449024587622887,6.22535430885797,0.018593219089547475,0.0,-0.05159696487979625,-0.19930621455876987,2.6086187846279887,-0.14703704069230186,0.06114259016996743,0.0,457.40340953079254,456.5224736361549,458.98553984993305,458.1088641421872
1.0800000000000005,-0.014133290246686029,-0.06250863839761583,11.605655165101702,6.2166279758976515,0.022591103766250953,0.0,-0.06338400564734314,-0.23534326597315475,2.6123317962856127,-0.14242364924444262,0.07581110983598446,0.0,411.53958192368503,412.8395200914749,412.6291653501715,413.01466032767473
